time	V(n002)
Step Information: Index=1  (Run: 1/5)
5.018038970190947e-004	2.782143e-002
5.020000000000001e-004	-2.730720e-001
5.020196102980905e-004	-3.020041e-001
5.020588308942715e-004	-3.555924e-001
5.021372720866335e-004	-4.455965e-001
5.022802747017478e-004	-5.692350e-001
5.024637216650765e-004	-6.757932e-001
5.026746105848204e-004	-7.485722e-001
5.029211565175016e-004	-7.940031e-001
5.032219454772901e-004	-8.203214e-001
5.036024712758978e-004	-8.337368e-001
5.041036101248837e-004	-8.393089e-001
5.048065068150797e-004	-8.409971e-001
5.058065068150796e-004	-8.412684e-001
6.000000000000001e-004	-8.412700e-001
6.000613013630144e-004	-8.219377e-001
6.001839040890430e-004	-7.512606e-001
6.004291095411004e-004	-5.273680e-001
6.005838048051939e-004	-3.412728e-001
6.007461961418459e-004	-1.148283e-001
6.008107386556156e-004	-1.957097e-002
6.008796473663102e-004	8.525310e-002
6.010000000000000e-004	2.733889e-001
6.010203874811774e-004	3.042808e-001
6.010475707894142e-004	3.424438e-001
6.011019374058874e-004	4.092689e-001
6.012106706388340e-004	5.145774e-001
6.014004558994907e-004	6.444395e-001
6.015875523889690e-004	7.241066e-001
6.018352225240682e-004	7.815815e-001
6.020973046230586e-004	8.121970e-001
6.024654709913717e-004	8.303469e-001
6.028957133190466e-004	8.379172e-001
6.035427003122694e-004	8.406559e-001
6.044239923308290e-004	8.412479e-001
6.054239923308290e-004	8.412719e-001
7.010000000000000e-004	8.412700e-001
7.010504752611117e-004	8.277376e-001
7.011514257833349e-004	7.771613e-001
7.013533268277817e-004	6.101779e-001
7.015227225923807e-004	4.188763e-001
7.016992819323293e-004	1.813637e-001
7.018038970190946e-004	2.782143e-002
7.020000000000002e-004	-2.730720e-001
7.020196102980906e-004	-3.020041e-001
7.020588308942718e-004	-3.555924e-001
7.021372720866339e-004	-4.455965e-001
7.022802747017481e-004	-5.692350e-001
7.024637216650768e-004	-6.757932e-001
7.026746105848207e-004	-7.485722e-001
7.029211565175019e-004	-7.940031e-001
7.032219454772904e-004	-8.203214e-001
7.036024712758983e-004	-8.337368e-001
7.041036101248842e-004	-8.393089e-001
7.048065068150805e-004	-8.409971e-001
7.058065068150804e-004	-8.412684e-001
7.568065068150761e-004	-8.412700e-001
8.000000000000002e-004	-8.412700e-001
8.000613013630145e-004	-8.219377e-001
8.001839040890435e-004	-7.512606e-001
8.004291095411013e-004	-5.273680e-001
8.005838048051940e-004	-3.412728e-001
8.007461961418460e-004	-1.148283e-001
8.008107386556157e-004	-1.957097e-002
8.008796473663103e-004	8.525310e-002
8.010000000000001e-004	2.733889e-001
8.010203874811775e-004	3.042808e-001
8.010475707894143e-004	3.424438e-001
8.011019374058875e-004	4.092689e-001
8.012106706388341e-004	5.145774e-001
8.014004558994908e-004	6.444395e-001
8.015875523889691e-004	7.241066e-001
8.018352225240683e-004	7.815815e-001
8.020973046230587e-004	8.121970e-001
8.024654709913720e-004	8.303469e-001
8.028957133190469e-004	8.379172e-001
8.035427003122697e-004	8.406559e-001
8.044239923308296e-004	8.412479e-001
8.054239923308295e-004	8.412719e-001
9.010000000000001e-004	8.412700e-001
9.010504752611117e-004	8.277376e-001
9.011514257833350e-004	7.771613e-001
9.013533268277818e-004	6.101779e-001
9.015227225923808e-004	4.188763e-001
9.016992819323294e-004	1.813637e-001
9.018038970190947e-004	2.782143e-002
9.020000000000002e-004	-2.730720e-001
9.020196102980907e-004	-3.020041e-001
9.020588308942719e-004	-3.555924e-001
9.021372720866339e-004	-4.455965e-001
9.022802747017482e-004	-5.692350e-001
9.024637216650769e-004	-6.757932e-001
9.026746105848208e-004	-7.485722e-001
9.029211565175020e-004	-7.940031e-001
9.032219454772905e-004	-8.203214e-001
9.036024712758984e-004	-8.337368e-001
9.041036101248843e-004	-8.393089e-001
9.048065068150805e-004	-8.409971e-001
9.058065068150805e-004	-8.412684e-001
9.993869863698349e-004	-8.412700e-001
1.000000000000000e-003	-8.412700e-001
