time	V(out)
Step Information: Index=2  (Run: 2/5)
2.202399999999985e-004	1.479230e-001
2.212399999999984e-004	1.487705e-001
2.222399999999983e-004	1.494536e-001
2.232399999999983e-004	1.500040e-001
2.242399999999982e-004	1.504477e-001
2.252399999999981e-004	1.508052e-001
2.262399999999980e-004	1.510934e-001
2.272399999999979e-004	1.513256e-001
2.282399999999978e-004	1.515128e-001
2.292399999999977e-004	1.516636e-001
2.302399999999977e-004	1.517852e-001
2.312399999999976e-004	1.518832e-001
2.322399999999975e-004	1.519622e-001
2.332399999999974e-004	1.520258e-001
2.342399999999973e-004	1.520771e-001
2.362399999999972e-004	1.521517e-001
2.382399999999970e-004	1.522002e-001
2.412399999999967e-004	1.522430e-001
2.452399999999964e-004	1.522702e-001
2.532399999999957e-004	1.522865e-001
2.772399999999937e-004	1.522901e-001
3.010000000000001e-004	1.522901e-001
3.011000000000001e-004	1.514401e-001
3.013000000000000e-004	1.482012e-001
3.016000000000000e-004	1.390395e-001
3.020000000000002e-004	1.216170e-001
3.022800000000000e-004	1.057784e-001
3.026000000000001e-004	8.903150e-002
3.032400000000002e-004	5.899629e-002
3.042400000000001e-004	1.875604e-002
3.052400000000000e-004	-1.443848e-002
3.062399999999999e-004	-4.119101e-002
3.072399999999999e-004	-6.275175e-002
3.082399999999998e-004	-8.012824e-002
3.092399999999997e-004	-9.413251e-002
3.102399999999996e-004	-1.054190e-001
3.112399999999995e-004	-1.145152e-001
3.122399999999994e-004	-1.218461e-001
3.132399999999994e-004	-1.277543e-001
3.142399999999993e-004	-1.325159e-001
3.152399999999992e-004	-1.363534e-001
3.162399999999991e-004	-1.394462e-001
3.172399999999990e-004	-1.419388e-001
3.182399999999989e-004	-1.439476e-001
3.192399999999989e-004	-1.455666e-001
3.202399999999988e-004	-1.468714e-001
3.212399999999987e-004	-1.479230e-001
3.222399999999986e-004	-1.487705e-001
3.232399999999985e-004	-1.494536e-001
3.242399999999984e-004	-1.500040e-001
3.252399999999983e-004	-1.504477e-001
3.262399999999983e-004	-1.508052e-001
3.272399999999982e-004	-1.510934e-001
3.282399999999981e-004	-1.513256e-001
3.292399999999980e-004	-1.515128e-001
3.302399999999979e-004	-1.516636e-001
3.312399999999978e-004	-1.517852e-001
3.322399999999978e-004	-1.518832e-001
3.332399999999977e-004	-1.519622e-001
3.342399999999976e-004	-1.520258e-001
3.352399999999975e-004	-1.520771e-001
3.372399999999973e-004	-1.521517e-001
3.392399999999972e-004	-1.522002e-001
3.422399999999969e-004	-1.522430e-001
3.462399999999966e-004	-1.522702e-001
3.542399999999959e-004	-1.522865e-001
4.000000000000002e-004	-1.522901e-001
4.001000000000002e-004	-1.514401e-001
4.003000000000001e-004	-1.482012e-001
4.006000000000001e-004	-1.390395e-001
4.009999999999999e-004	-1.216170e-001
4.012799999999997e-004	-1.057784e-001
4.015999999999996e-004	-8.903150e-002
4.022399999999992e-004	-5.899629e-002
4.032399999999992e-004	-1.875604e-002
4.042399999999991e-004	1.443848e-002
4.052399999999990e-004	4.119101e-002
4.062399999999989e-004	6.275175e-002
4.072399999999988e-004	8.012824e-002
4.082399999999987e-004	9.413251e-002
4.092399999999987e-004	1.054190e-001
4.102399999999986e-004	1.145152e-001
4.112399999999985e-004	1.218461e-001
4.122399999999984e-004	1.277543e-001
4.132399999999983e-004	1.325159e-001
4.142399999999982e-004	1.363534e-001
4.152399999999982e-004	1.394462e-001
4.162399999999981e-004	1.419388e-001
4.172399999999980e-004	1.439476e-001
4.182399999999979e-004	1.455666e-001
4.192399999999978e-004	1.468714e-001
4.202399999999977e-004	1.479230e-001
4.212399999999976e-004	1.487705e-001
4.222399999999976e-004	1.494536e-001
4.232399999999975e-004	1.500040e-001
4.242399999999974e-004	1.504477e-001
4.252399999999973e-004	1.508052e-001
4.262399999999972e-004	1.510934e-001
4.272399999999971e-004	1.513256e-001
4.282399999999971e-004	1.515128e-001
4.292399999999970e-004	1.516636e-001
